5221908EX;2025-08;;;;;;;;;;;;;;
CONTA;IC1;TIPO1;IC2;TIPO2;IC3;TIPO3;IC4;TIPO4;IC5;TIPO5;IC6;TIPO6;Valor;Tipo_valor;Natureza_valor
111110200;10132;PO;1;FP;1800;FR;;;;;;;164267.74;beginning_balance;C
111110200;10132;PO;1;FP;1800;FR;;;;;;;164267.74;ending_balance;C
111110200;10131;PO;1;FP;1500;FR;;;;;;;2867716.66;period_change;C
111110200;10131;PO;1;FP;1500;FR;;;;;;;2922973.50;period_change;D
111110200;10131;PO;1;FP;1500;FR;;;;;;;2761.32;beginning_balance;D
111110200;10131;PO;1;FP;1500;FR;;;;;;;58018.16;ending_balance;D
111110200;10131;PO;1;FP;1500;FR;1002;CO;;;;;1304270.54;period_change;C
111110200;10131;PO;1;FP;1500;FR;1002;CO;;;;;1316763.04;period_change;D
111110200;10131;PO;1;FP;1500;FR;1002;CO;;;;;2363.48;beginning_balance;D
111110200;10131;PO;1;FP;1500;FR;1002;CO;;;;;14855.98;ending_balance;D
111110200;10131;PO;1;FP;1569;FR;1001;CO;;;;;320.33;period_change;D
111110200;10131;PO;1;FP;1569;FR;1001;CO;;;;;3104.44;beginning_balance;D
111110200;10131;PO;1;FP;1569;FR;1001;CO;;;;;3424.77;ending_balance;D
111110200;10131;PO;1;FP;1550;FR;1001;CO;;;;;18256.37;period_change;D
111110200;10131;PO;1;FP;1550;FR;1001;CO;;;;;33.32;beginning_balance;D
111110200;10131;PO;1;FP;1550;FR;1001;CO;;;;;18289.69;ending_balance;D
111110200;10131;PO;1;FP;1552;FR;1001;CO;;;;;9734.48;period_change;C
111110200;10131;PO;1;FP;1552;FR;1001;CO;;;;;16241.81;period_change;D
111110200;10131;PO;1;FP;1552;FR;1001;CO;;;;;9045.73;beginning_balance;D
111110200;10131;PO;1;FP;1552;FR;1001;CO;;;;;15553.06;ending_balance;D
111110200;10131;PO;1;FP;1500;FR;1001;CO;;;;;710869.74;period_change;C
111110200;10131;PO;1;FP;1500;FR;1001;CO;;;;;712674.45;period_change;D
111110200;10131;PO;1;FP;1500;FR;1001;CO;;;;;309.09;beginning_balance;D
111110200;10131;PO;1;FP;1500;FR;1001;CO;;;;;2113.80;ending_balance;D
111110200;10131;PO;1;FP;1600;FR;;;;;;;172127.79;period_change;C
111110200;10131;PO;1;FP;1600;FR;;;;;;;166179.76;period_change;D
111110200;10131;PO;1;FP;1600;FR;;;;;;;57698.11;beginning_balance;D
111110200;10131;PO;1;FP;1600;FR;;;;;;;51750.08;ending_balance;D
111110200;10131;PO;1;FP;1605;FR;;;;;;;8300.49;period_change;C
111110200;10131;PO;1;FP;1605;FR;;;;;;;8300.49;beginning_balance;D
111110200;10131;PO;1;FP;1605;FR;;;;;;;0.00;ending_balance;D
111110200;10131;PO;1;FP;1661;FR;;;;;;;69.00;period_change;C
111110200;10131;PO;1;FP;1661;FR;;;;;;;12.49;period_change;D
111110200;10131;PO;1;FP;1661;FR;;;;;;;7544.39;beginning_balance;D
111110200;10131;PO;1;FP;1661;FR;;;;;;;7487.88;ending_balance;D
111110200;10131;PO;1;FP;2600;FR;;;;;;;2858.29;beginning_balance;D
111110200;10131;PO;1;FP;2600;FR;;;;;;;2858.29;ending_balance;D
111110200;10131;PO;1;FP;2605;FR;;;;;;;12316.31;beginning_balance;D
111110200;10131;PO;1;FP;2605;FR;;;;;;;12316.31;ending_balance;D
111110200;10131;PO;1;FP;1706;FR;3110;CO;;;;;129018.18;period_change;C
111110200;10131;PO;1;FP;1706;FR;3110;CO;;;;;99945.66;period_change;D
111110200;10131;PO;1;FP;1706;FR;3110;CO;;;;;193044.08;beginning_balance;D
111110200;10131;PO;1;FP;1706;FR;3110;CO;;;;;163971.56;ending_balance;D
111110200;10131;PO;1;FP;1599;FR;3120;CO;;;;;0.72;beginning_balance;D
111110200;10131;PO;1;FP;1599;FR;3120;CO;;;;;0.72;ending_balance;D
111110200;10131;PO;1;FP;2661;FR;;;;;;;14500.00;period_change;C
111110200;10131;PO;1;FP;2661;FR;;;;;;;14902.67;beginning_balance;D
111110200;10131;PO;1;FP;2661;FR;;;;;;;402.67;ending_balance;D
111110200;10131;PO;1;FP;2706;FR;3110;CO;;;;;1681.11;beginning_balance;D
111110200;10131;PO;1;FP;2706;FR;3110;CO;;;;;1681.11;ending_balance;D
111110200;10131;PO;1;FP;1543;FR;1001;CO;;;;;6879.43;period_change;C
111110200;10131;PO;1;FP;1543;FR;1001;CO;;;;;3441.06;period_change;D
111110200;10131;PO;1;FP;1543;FR;1001;CO;;;;;3438.37;beginning_balance;D
111110200;10131;PO;1;FP;1543;FR;1001;CO;;;;;0.00;ending_balance;D
111110200;20231;PO;1;FP;1500;FR;;;;;;;131857.16;period_change;C
111110200;20231;PO;1;FP;1500;FR;;;;;;;145345.29;period_change;D
111110200;20231;PO;1;FP;1500;FR;;;;;;;96659.12;beginning_balance;D
111110200;20231;PO;1;FP;1500;FR;;;;;;;110147.25;ending_balance;D
111110200;20231;PO;1;FP;2500;FR;;;;;;;0.00;beginning_balance;D
111110200;20231;PO;1;FP;2500;FR;;;;;;;0.00;ending_balance;D
111110200;10131;PO;1;FP;1553;FR;1001;CO;;;;;8.96;period_change;D
111110200;10131;PO;1;FP;1553;FR;1001;CO;;;;;242.76;beginning_balance;D
111110200;10131;PO;1;FP;1553;FR;1001;CO;;;;;251.72;ending_balance;D
111110200;10131;PO;1;FP;1750;FR;;;;;;;15.23;period_change;D
111110200;10131;PO;1;FP;1750;FR;;;;;;;314.18;beginning_balance;D
111110200;10131;PO;1;FP;1750;FR;;;;;;;329.41;ending_balance;D
111110200;10131;PO;1;FP;1749;FR;;;;;;;4426.35;period_change;C
111110200;10131;PO;1;FP;1749;FR;;;;;;;5856.18;period_change;D
